path	course	id	title	characters	line_count	blank_line_count	max_consecutive_lines	block_count	max_block_characters	machine_audit	priority	recommended_action	projected_blank_line_count	layout_outcome	implementation_status	review_status	reviewer	reviewed_at	notes
public/cet/lessons/cet4/cet4-20180601.json	cet	cet4-20180601	2018年6月英语四级真题第1套	23603	225	0	225	40	2781	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	39	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20180602.json	cet	cet4-20180602	2018年6月英语四级真题第2套	22826	218	0	218	41	3126	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	40	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20180603.json	cet	cet4-20180603	2018年6月英语四级真题第3套	18239	107	0	107	10	2949	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	9	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20181201.json	cet	cet4-20181201	2018年12月英语四级真题第1套	22503	218	0	218	24	4623	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	23	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20181202.json	cet	cet4-20181202	2018年12月英语四级真题第2套	23702	225	0	225	23	4636	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	22	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20181203.json	cet	cet4-20181203	2018年12月英语四级真题第3套	17483	122	0	122	18	4336	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	17	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20190601.json	cet	cet4-20190601	2019年6月英语四级真题第1套	23359	216	0	216	10	3479	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	9	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20190602.json	cet	cet4-20190602	2019年6月英语四级真题第2套	22875	186	0	186	9	3813	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	8	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20190603.json	cet	cet4-20190603	2019年6月英语四级真题第3套	17587	118	0	118	6	3533	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	5	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20191201.json	cet	cet4-20191201	2019年12月英语四级真题第1套	23274	165	0	165	8	4285	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	7	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20191202.json	cet	cet4-20191202	2019年12月英语四级真题第2套	22738	167	0	167	7	4863	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	6	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20191203.json	cet	cet4-20191203	2019年12月英语四级真题第3套	17178	63	0	63	6	4827	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	5	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20200700.json	cet	cet4-20200700	2020年7月英语四级真题全套合卷	24398	236	0	236	11	3285	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	10	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20201201.json	cet	cet4-20201201	2020年12月英语四级真题第1套	23855	213	0	213	8	3825	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	7	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20201202.json	cet	cet4-20201202	2020年12月英语四级真题第2套	23531	212	0	212	8	3660	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	7	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20201203.json	cet	cet4-20201203	2020年12月英语四级真题第3套	17039	112	0	112	6	3526	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	5	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20210601.json	cet	cet4-20210601	2021年6月英语四级真题第1套	24528	202	0	202	8	4031	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	7	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20210602.json	cet	cet4-20210602	2021年6月英语四级真题第2套	25336	208	0	208	8	4281	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	7	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20210603.json	cet	cet4-20210603	2021年6月英语四级真题第3套	17925	113	0	113	6	3540	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	5	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20211201.json	cet	cet4-20211201	2021年12月英语四级真题第1套	24117	199	0	199	10	3319	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	9	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20211202.json	cet	cet4-20211202	2021年12月英语四级真题第2套	24078	208	0	208	10	3137	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	9	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20211203.json	cet	cet4-20211203	2021年12月英语四级真题第3套	18551	111	0	111	8	3024	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	7	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20220601.json	cet	cet4-20220601	2022年6月英语四级真题第1套	24443	208	0	208	10	3119	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	9	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20220602.json	cet	cet4-20220602	2022年6月英语四级真题第2套	18150	124	0	124	14	1957	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	13	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20220900.json	cet	cet4-20220900	2022年9月英语四级真题全套合卷	26444	212	0	212	12	3477	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	11	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20221201.json	cet	cet4-20221201	2022年12月英语四级真题第1套	23843	213	0	213	8	3981	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	7	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20221202.json	cet	cet4-20221202	2022年12月英语四级真题第2套	23046	220	0	220	8	3935	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	7	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20221203.json	cet	cet4-20221203	2022年12月英语四级真题第3套	18146	121	0	121	6	3992	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	5	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20230300.json	cet	cet4-20230300	2023年3月英语四级真题全套合卷	24844	226	0	226	11	3624	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	10	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20230601.json	cet	cet4-20230601	2023年6月英语四级真题第1套	23948	209	0	209	18	3926	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	17	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20230602.json	cet	cet4-20230602	2023年6月英语四级真题第2套	23663	179	0	179	11	3779	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	10	spacing_added	applied_frontend	resolved_frontend			
public/cet/lessons/cet4/cet4-20230603.json	cet	cet4-20230603	2023年6月英语四级真题第3套	18068	109	0	109	14	3820	text_and_structure_present	P0	render_existing_blocks_as_paragraphs	13	spacing_added	applied_frontend	resolved_frontend			
